,open,high,low,close,adj close,volume
2020-08-15,6.101,6.35,5.895,6.077,6.077,2639329.0
2020-08-16,6.077,6.391,5.781,6.243,6.243,3149876.0
2020-08-17,6.246,6.318,5.86,5.907,5.907,2725418.0
2020-08-18,5.901,6.16,5.515,5.826,5.826,2805280.0
2020-08-19,5.825,5.934,5.3,5.65,5.65,2780331.0
2020-08-20,5.649,6.373,5.539,6.297,6.297,3608691.0
2020-08-21,6.299,6.6,5.596,5.606,5.606,4055827.0
2020-08-22,5.611,6.5,5.398,6.411,6.411,4798512.0
2020-08-23,6.411,8.602,6.34,8.532,8.532,15687286.0
2020-08-24,8.535,8.56,7.668,8.211,8.211,8474992.0
2020-08-25,8.211,8.877,7.786,8.378,8.378,10852903.0
2020-08-26,8.377,8.653,7.642,7.708,7.708,6473787.0
2020-08-27,7.707,7.923,6.894,7.291,7.291,5919743.0
2020-08-28,7.291,7.844,7.123,7.559,7.559,3227902.0
2020-08-29,7.563,7.619,7.268,7.27,7.27,1977735.0
2020-08-30,7.27,7.925,7.231,7.621,7.621,2993408.0
2020-08-31,7.622,7.819,7.14,7.205,7.205,2041474.0
2020-09-01,7.205,7.642,6.978,7.218,7.218,3142893.0
2020-09-02,7.224,7.31,6.368,6.643,6.643,3068338.0
2020-09-03,6.642,6.74,4.5,4.899,4.899,5449700.0
2020-09-04,4.901,5.656,4.695,5.463,5.463,6457804.0
2020-09-05,5.468,5.675,4.56,4.918,4.918,5638140.0
2020-09-06,4.91,5.35,4.455,5.178,5.178,3823014.0
2020-09-07,5.177,5.258,4.571,5.053,5.053,3239401.0
2020-09-08,5.054,5.162,4.745,4.952,4.952,2731561.0
2020-09-09,4.954,5.493,4.888,5.32,5.32,2075425.0
2020-09-10,5.317,5.564,5.172,5.324,5.324,2294705.0
2020-09-11,5.325,5.535,5.048,5.342,5.342,2585374.0
2020-09-12,5.345,5.719,5.18,5.603,5.603,2630471.0
2020-09-13,5.603,5.857,5.105,5.32,5.32,2992263.0
2020-09-14,5.317,5.539,5.12,5.381,5.381,1894291.0
2020-09-15,5.377,5.453,4.776,4.866,4.866,3684936.0
2020-09-16,4.864,5.189,4.682,5.122,5.122,1426210.0
2020-09-17,5.119,5.224,4.868,5.062,5.062,1733021.0
2020-09-18,5.067,5.214,4.773,4.966,4.966,1799590.0
2020-09-19,4.961,5.04,4.859,4.943,4.943,1270243.0
2020-09-20,4.942,5.094,4.535,4.664,4.664,1391035.0
2020-09-21,4.663,4.734,3.951,4.081,4.081,2886545.0
2020-09-22,4.084,4.275,4.022,4.21,4.21,1791101.0
2020-09-23,4.205,4.304,3.79,3.839,3.839,2035120.0
2020-09-24,3.844,4.55,3.78,4.483,4.483,2652985.0
2020-09-25,4.483,4.802,4.353,4.791,4.791,2384387.0
2020-09-26,4.791,4.819,4.466,4.607,4.607,1273965.0
2020-09-27,4.603,4.803,4.523,4.727,4.727,1629074.0
2020-09-28,4.727,5.201,4.72,4.826,4.826,3934619.0
2020-09-29,4.826,5.376,4.8,5.309,5.309,2797378.0
2020-09-30,5.304,5.57,5.192,5.372,5.372,3374662.0
2020-10-01,5.374,5.596,4.962,5.135,5.135,2508968.0
2020-10-02,5.132,5.273,4.637,4.906,4.906,2939264.0
2020-10-03,4.907,5.135,4.867,5.01,5.01,1136760.0
2020-10-04,5.008,5.38,4.846,5.314,5.314,1819836.0
2020-10-05,5.319,5.4,5.172,5.366,5.366,1476051.0
2020-10-06,5.369,5.4,4.679,4.736,4.736,2397701.0
2020-10-07,4.734,4.943,4.549,4.873,4.873,1997788.0
2020-10-08,4.874,5.126,4.62,5.034,5.034,1984684.0
2020-10-09,5.042,5.302,4.928,5.155,5.155,1837045.0
2020-10-10,5.152,5.707,5.147,5.534,5.534,2323359.0
2020-10-11,5.541,6.269,5.419,6.072,6.072,5269281.0
2020-10-12,6.079,6.24,5.786,5.97,5.97,3877974.0
2020-10-13,5.971,6.2,5.803,6.012,6.012,3643479.0
2020-10-14,6.012,6.136,5.63,5.727,5.727,3182235.0
2020-10-15,5.727,5.914,5.5,5.769,5.769,2649459.0
2020-10-16,5.768,5.841,5.311,5.403,5.403,2617584.0
2020-10-17,5.405,5.523,5.286,5.466,5.466,1142381.0
2020-10-18,5.462,5.784,5.414,5.762,5.762,1224474.0
