,open,high,low,close,adj close,volume
2020-08-15,0.1354,0.16,0.13,0.1424,0.1424,15042252.0
2020-08-16,0.14288,0.14398,0.13103,0.1345,0.1345,4565178.0
2020-08-17,0.1344,0.14614,0.12814,0.13451,0.13451,8301865.0
2020-08-18,0.13457,0.13842,0.115,0.12414,0.12414,3925987.0
2020-08-19,0.12406,0.12533,0.11016,0.1147,0.1147,4209580.0
2020-08-20,0.11551,0.12587,0.1147,0.12266,0.12266,3713186.0
2020-08-21,0.12267,0.12269,0.09162,0.10672,0.10672,4486665.0
2020-08-22,0.10762,0.12846,0.0992,0.12439,0.12439,5631193.0
2020-08-23,0.12434,0.13415,0.117,0.12176,0.12176,9612816.0
2020-08-24,0.12162,0.1348,0.11753,0.1278,0.1278,6691486.0
2020-08-25,0.12784,0.13577,0.11164,0.11953,0.11953,7043605.0
2020-08-26,0.11961,0.12949,0.11701,0.12782,0.12782,4542836.0
2020-08-27,0.1275,0.1533,0.12746,0.14632,0.14632,32113528.0
2020-08-28,0.14608,0.189,0.14445,0.17821,0.17821,32927840.0
2020-08-29,0.17821,0.2058,0.17164,0.1722,0.1722,29417722.0
2020-08-30,0.17228,0.17844,0.16197,0.16467,0.16467,12026988.0
2020-08-31,0.16462,0.1737,0.1595,0.16046,0.16046,7931909.0
2020-09-01,0.16019,0.16226,0.14581,0.15153,0.15153,13728071.0
2020-09-02,0.15224,0.15838,0.1358,0.14244,0.14244,8255346.0
2020-09-03,0.14244,0.14344,0.09828,0.0995,0.0995,11846539.0
2020-09-04,0.09935,0.16148,0.0985,0.14651,0.14651,36220320.0
2020-09-05,0.14713,0.15557,0.111,0.1264,0.1264,29386967.0
2020-09-06,0.12683,0.14795,0.11393,0.13141,0.13141,19435034.0
2020-09-07,0.13133,0.13648,0.1093,0.129,0.129,16775087.0
2020-09-08,0.12922,0.13005,0.11032,0.11568,0.11568,8523580.0
2020-09-09,0.11532,0.12351,0.109,0.11747,0.11747,7407909.0
2020-09-10,0.11761,0.12832,0.11718,0.12013,0.12013,7781433.0
2020-09-11,0.12013,0.14365,0.11345,0.13369,0.13369,17539326.0
2020-09-12,0.13339,0.13624,0.12666,0.13083,0.13083,5259546.0
2020-09-13,0.13098,0.13523,0.11664,0.12118,0.12118,6509929.0
2020-09-14,0.12048,0.1241,0.11689,0.1195,0.1195,3899771.0
2020-09-15,0.11976,0.13497,0.11475,0.11591,0.11591,13119522.0
2020-09-16,0.11591,0.1293,0.10971,0.12048,0.12048,8407677.0
2020-09-17,0.12047,0.12572,0.11173,0.11955,0.11955,6106778.0
2020-09-18,0.11947,0.12397,0.11422,0.11832,0.11832,7253764.0
2020-09-19,0.11911,0.11992,0.11203,0.1166,0.1166,6546250.0
2020-09-20,0.11657,0.11913,0.10008,0.10449,0.10449,10542584.0
2020-09-21,0.10457,0.1059,0.08232,0.0844,0.0844,15242952.0
2020-09-22,0.08441,0.08968,0.08197,0.08725,0.08725,7601218.0
2020-09-23,0.08699,0.09281,0.07494,0.07613,0.07613,13043271.0
2020-09-24,0.07616,0.08699,0.07556,0.08549,0.08549,7267462.0
2020-09-25,0.08544,0.09693,0.08039,0.09414,0.09414,8871333.0
2020-09-26,0.0947,0.09943,0.08969,0.09738,0.09738,7622571.0
2020-09-27,0.09755,0.09955,0.08676,0.09307,0.09307,6635973.0
2020-09-28,0.09395,0.1133,0.09388,0.10439,0.10439,15971479.0
2020-09-29,0.10439,0.12034,0.10227,0.1159,0.1159,18292585.0
2020-09-30,0.11593,0.12025,0.11066,0.11476,0.11476,8125837.0
2020-10-01,0.11487,0.11572,0.10153,0.10546,0.10546,6701695.0
2020-10-02,0.10487,0.10872,0.089,0.09834,0.09834,11476248.0
2020-10-03,0.09844,0.10681,0.09704,0.10343,0.10343,5146121.0
2020-10-04,0.10313,0.10514,0.09838,0.1049,0.1049,4479641.0
2020-10-05,0.10465,0.11,0.10227,0.10794,0.10794,5916612.0
2020-10-06,0.10829,0.10829,0.09478,0.0964,0.0964,6856489.0
2020-10-07,0.09531,0.09649,0.08738,0.09566,0.09566,7193245.0
2020-10-08,0.09591,0.10369,0.09197,0.10259,0.10259,8356433.0
2020-10-09,0.10247,0.10694,0.09863,0.1028,0.1028,6483503.0
2020-10-10,0.10316,0.131,0.10204,0.12585,0.12585,22660836.0
2020-10-11,0.12581,0.12773,0.11567,0.11873,0.11873,13728460.0
2020-10-12,0.11923,0.12241,0.11114,0.1134,0.1134,18951345.0
2020-10-13,0.11339,0.118,0.10758,0.1123,0.1123,12598182.0
2020-10-14,0.11269,0.11695,0.09872,0.1017,0.1017,13507131.0
2020-10-15,0.10169,0.10177,0.09563,0.09592,0.09592,8401440.0
2020-10-16,0.09593,0.09622,0.08406,0.08445,0.08445,14567290.0
2020-10-17,0.08446,0.092,0.08222,0.08873,0.08873,4929181.0
2020-10-18,0.08873,0.09425,0.08811,0.09115,0.09115,4280786.0
2020-10-19,0.09108,0.09108,0.08081,0.08267,0.08267,8970388.0
2020-10-20,0.08252,0.08267,0.07507,0.07615,0.07615,10450371.0
2020-10-21,0.07644,0.085,0.0763,0.07901,0.07901,10473265.0
2020-10-22,0.07873,0.08874,0.07873,0.08521,0.08521,9990684.0
2020-10-23,0.08508,0.08521,0.0786,0.08078,0.08078,7404238.0
2020-10-24,0.08055,0.0897,0.0798,0.08769,0.08769,8791831.0
2020-10-25,0.08724,0.09189,0.08341,0.0864,0.0864,14080082.0
2020-10-26,0.08648,0.08718,0.076,0.07829,0.07829,9865331.0
2020-10-27,0.07839,0.08053,0.075,0.07742,0.07742,8030031.0
2020-10-28,0.07729,0.07775,0.06595,0.06831,0.06831,8100577.0
2020-10-29,0.0681,0.06994,0.06419,0.06559,0.06559,4244960.0
2020-10-30,0.06558,0.06671,0.05869,0.06282,0.06282,6591359.0
2020-10-31,0.06277,0.06423,0.05947,0.05991,0.05991,5077910.0
2020-11-01,0.05978,0.06094,0.05767,0.05913,0.05913,6690946.0
2020-11-02,0.05918,0.061,0.05667,0.05754,0.05754,7439253.0
2020-11-03,0.05758,0.05773,0.05223,0.0543,0.0543,11990548.0
2020-11-04,0.05404,0.05571,0.05011,0.05302,0.05302,9134381.0
2020-11-05,0.05322,0.05764,0.05159,0.05668,0.05668,13374052.0
2020-11-06,0.05674,0.06843,0.05642,0.06731,0.06731,14154680.0
2020-11-07,0.06709,0.07768,0.06021,0.06308,0.06308,25896549.0
2020-11-08,0.06313,0.07299,0.0618,0.071,0.071,15389916.0
2020-11-09,0.0713,0.07378,0.06648,0.06898,0.06898,10611334.0
2020-11-10,0.06876,0.08245,0.06851,0.08053,0.08053,14172471.0
2020-11-11,0.08053,0.08382,0.0729,0.07386,0.07386,9936852.0
2020-11-12,0.07386,0.07757,0.06699,0.06835,0.06835,7587651.0
2020-11-13,0.06857,0.07627,0.06856,0.07322,0.07322,6609985.0
2020-11-14,0.07337,0.07337,0.06413,0.07029,0.07029,12061965.0
2020-11-15,0.07069,0.07349,0.06272,0.06532,0.06532,10096808.0
2020-11-16,0.06511,0.0706,0.0639,0.06785,0.06785,9458647.0
2020-11-17,0.06763,0.07385,0.06702,0.06971,0.06971,11740711.0
2020-11-18,0.06979,0.07051,0.06102,0.06505,0.06505,12660580.0
2020-11-19,0.06498,0.06785,0.06156,0.06671,0.06671,9245408.0
2020-11-20,0.06675,0.07173,0.06581,0.06677,0.06677,16134134.0
2020-11-21,0.0668,0.07788,0.0649,0.07587,0.07587,18755325.0
2020-11-22,0.07584,0.0939,0.07249,0.08695,0.08695,36034983.0
2020-11-23,0.08734,0.09265,0.08062,0.08528,0.08528,27831553.0
2020-11-24,0.08526,0.10269,0.08411,0.09479,0.09479,33663272.0
2020-11-25,0.09489,0.10635,0.08522,0.08941,0.08941,29518015.0
2020-11-26,0.08949,0.09522,0.06755,0.07552,0.07552,32255853.0
2020-11-27,0.07567,0.0787,0.06851,0.07315,0.07315,12703878.0
2020-11-28,0.07352,0.07638,0.06999,0.07308,0.07308,7725889.0
2020-11-29,0.07319,0.07728,0.07132,0.07406,0.07406,9534224.0
2020-11-30,0.07406,0.07838,0.07232,0.0772,0.0772,9840877.0
2020-12-01,0.07722,0.08215,0.07311,0.07723,0.07723,15767197.0
2020-12-02,0.07701,0.08667,0.07589,0.08274,0.08274,12603803.0
2020-12-03,0.08229,0.08318,0.08026,0.08153,0.08153,6800080.0
2020-12-04,0.08138,0.0828,0.0728,0.07389,0.07389,8773200.0
2020-12-05,0.07358,0.07732,0.07263,0.0767,0.0767,5292831.0
2020-12-06,0.07678,0.07783,0.0726,0.0759,0.0759,6107041.0
2020-12-07,0.07578,0.07584,0.07282,0.07421,0.07421,4211005.0
2020-12-08,0.0738,0.0753,0.06726,0.06856,0.06856,7726135.0
2020-12-09,0.06851,0.06926,0.06391,0.06837,0.06837,6787893.0
2020-12-10,0.0685,0.06884,0.06458,0.0656,0.0656,4588214.0
2020-12-11,0.06584,0.06584,0.06002,0.0612,0.0612,7960292.0
2020-12-12,0.06136,0.06576,0.06116,0.06468,0.06468,6385042.0
2020-12-13,0.06492,0.07046,0.0639,0.07028,0.07028,12781966.0
2020-12-14,0.0703,0.0713,0.06822,0.06988,0.06988,8523376.0
