,open,high,low,close,adj close,volume
2020-08-15,11760.55,11980.0,11680.0,11852.4,11852.4,56237.0
2020-08-16,11852.4,11931.72,11686.0,11911.0,11911.0,41368.0
2020-08-17,11910.99,12468.0,11769.78,12281.13,12281.13,84734.0
2020-08-18,12281.15,12387.77,11817.93,11945.01,11945.01,75923.0
2020-08-19,11945.1,12020.08,11561.0,11754.59,11754.59,73940.0
2020-08-20,11754.38,11888.0,11668.0,11853.55,11853.55,46085.0
2020-08-21,11853.54,11878.0,11485.81,11531.34,11531.34,64448.0
2020-08-22,11531.23,11686.0,11376.81,11662.96,11662.96,43678.0
2020-08-23,11663.51,11718.07,11514.13,11648.13,11648.13,37900.0
2020-08-24,11648.12,11824.9,11585.09,11748.2,11748.2,46212.0
2020-08-25,11748.19,11767.85,11117.64,11318.42,11318.42,69590.0
2020-08-26,11318.42,11539.32,11244.0,11461.43,11461.43,53998.0
2020-08-27,11461.42,11592.2,11125.0,11330.38,11330.38,63246.0
2020-08-28,11330.38,11542.65,11276.89,11526.91,11526.91,45953.0
2020-08-29,11526.9,11580.02,11417.04,11465.84,11465.84,32973.0
2020-08-30,11465.84,11719.0,11458.0,11711.16,11711.16,43177.0
2020-08-31,11711.17,11800.77,11570.0,11649.51,11649.51,55353.0
2020-09-01,11649.51,12050.85,11515.0,11921.97,11921.97,78148.0
2020-09-02,11921.97,11954.57,11160.1,11388.54,11388.54,87221.0
2020-09-03,11388.54,11462.6,9960.8,10140.85,10140.85,121950.0
2020-09-04,10138.29,10627.05,9875.5,10446.25,10446.25,92733.0
2020-09-05,10446.25,10565.68,9825.0,10166.69,10166.69,90001.0
2020-09-06,10166.69,10347.14,9994.86,10256.2,10256.2,56368.0
2020-09-07,10255.89,10410.75,9875.0,10373.44,10373.44,62620.0
2020-09-08,10373.45,10438.0,9850.0,10126.65,10126.65,73491.0
2020-09-09,10126.66,10343.0,9981.01,10219.2,10219.2,49347.0
2020-09-10,10219.29,10483.35,10070.83,10336.87,10336.87,58253.0
2020-09-11,10336.86,10397.6,10200.0,10387.89,10387.89,43830.0
2020-09-12,10387.89,10477.97,10269.25,10440.92,10440.92,35379.0
2020-09-13,10440.67,10580.11,10200.0,10332.83,10332.83,43837.0
2020-09-14,10332.84,10750.0,10212.34,10671.77,10671.77,67059.0
2020-09-15,10671.77,10930.04,10606.48,10785.31,10785.31,61822.0
2020-09-16,10785.23,11093.0,10661.22,10954.01,10954.01,64991.0
2020-09-17,10954.01,11045.46,10745.83,10939.99,10939.99,55601.0
2020-09-18,10940.0,11038.03,10812.84,10933.39,10933.39,47266.0
2020-09-19,10933.4,11179.79,10887.37,11080.65,11080.65,38440.0
2020-09-20,11080.64,11080.64,10723.0,10920.28,10920.28,39157.0
2020-09-21,10920.28,10988.86,10296.35,10417.22,10417.22,70683.0
2020-09-22,10417.22,10572.71,10353.0,10529.61,10529.61,43991.0
2020-09-23,10529.61,10537.15,10136.82,10241.46,10241.46,51876.0
2020-09-24,10241.46,10795.24,10190.93,10736.32,10736.32,57676.0
2020-09-25,10736.33,10760.53,10556.24,10686.67,10686.67,48101.0
2020-09-26,10686.57,10820.94,10644.68,10728.6,10728.6,28420.0
2020-09-27,10728.59,10799.0,10594.82,10774.25,10774.25,30549.0
2020-09-28,10774.26,10950.0,10626.0,10696.12,10696.12,50095.0
2020-09-29,10696.11,10867.54,10635.87,10840.48,10840.48,41874.0
2020-09-30,10840.58,10849.34,10665.13,10776.59,10776.59,39596.0
2020-10-01,10776.59,10920.0,10437.0,10619.13,10619.13,60866.0
2020-10-02,10619.13,10664.64,10374.0,10570.4,10570.4,50130.0
2020-10-03,10570.4,10603.56,10496.46,10542.06,10542.06,22298.0
2020-10-04,10542.07,10696.87,10517.87,10666.63,10666.63,23212.0
2020-10-05,10666.62,10798.0,10615.64,10792.21,10792.21,34025.0
2020-10-06,10792.2,10800.0,10525.0,10599.66,10599.66,48674.0
2020-10-07,10599.65,10681.87,10546.17,10666.39,10666.39,32811.0
2020-10-08,10666.4,10950.0,10530.41,10925.57,10925.57,51959.0
2020-10-09,10925.44,11104.64,10829.0,11050.64,11050.64,48240.0
2020-10-10,11050.64,11491.0,11050.51,11293.22,11293.22,43648.0
2020-10-11,11293.22,11445.0,11221.0,11369.02,11369.02,29043.0
2020-10-12,11369.02,11720.01,11172.0,11528.25,11528.25,52825.0
2020-10-13,11528.24,11557.0,11300.0,11420.56,11420.56,42205.0
2020-10-14,11420.57,11547.98,11280.0,11417.89,11417.89,41415.0
2020-10-15,11417.89,11617.34,11250.83,11505.12,11505.12,48760.0
2020-10-16,11505.13,11541.15,11200.0,11319.32,11319.32,48797.0
2020-10-17,11319.24,11402.42,11255.0,11360.2,11360.2,22368.0
2020-10-18,11360.31,11505.0,11346.22,11503.14,11503.14,23284.0
2020-10-19,11503.14,11823.99,11407.96,11751.47,11751.47,47414.0
2020-10-20,11751.46,12038.38,11677.59,11909.99,11909.99,62134.0
2020-10-21,11910.0,13217.68,11886.95,12780.96,12780.96,114584.0
2020-10-22,12780.75,13185.0,12678.08,12968.52,12968.52,70038.0
2020-10-23,12968.84,13027.69,12720.08,12923.07,12923.07,50386.0
2020-10-24,12923.06,13166.73,12870.0,13111.73,13111.73,35952.0
2020-10-25,13111.73,13350.0,12888.0,13028.83,13028.83,38481.0
2020-10-26,13029.64,13238.81,12765.0,13052.19,13052.19,60951.0
2020-10-27,13052.15,13789.29,13019.87,13636.17,13636.17,80811.0
2020-10-28,13636.16,13859.48,12888.0,13266.4,13266.4,94440.0
2020-10-29,13266.4,13642.91,12920.77,13455.7,13455.7,74872.0
2020-10-30,13455.69,13669.98,13115.0,13560.1,13560.1,70657.0
2020-10-31,13560.1,14100.0,13411.5,13791.0,13791.0,67339.0
2020-11-01,13791.0,13895.0,13603.0,13761.5,13761.5,36285.0
2020-11-02,13761.49,13830.0,13195.05,13549.37,13549.37,64566.0
2020-11-03,13549.63,14066.11,13284.99,14023.53,14023.53,74115.0
2020-11-04,14023.53,14259.0,13525.0,14144.01,14144.01,93016.0
2020-11-05,14144.01,15750.0,14093.56,15590.02,15590.02,143741.0
2020-11-06,15590.02,15960.0,15166.0,15579.92,15579.92,122618.0
2020-11-07,15579.93,15753.52,14344.22,14818.3,14818.3,101431.0
2020-11-08,14818.3,15650.0,14703.88,15475.1,15475.1,65547.0
2020-11-09,15475.1,15840.0,14805.54,15328.41,15328.41,108976.0
2020-11-10,15328.41,15460.0,15072.46,15297.21,15297.21,61681.0
2020-11-11,15297.21,15965.0,15272.68,15684.24,15684.24,78469.0
2020-11-12,15684.25,16340.7,15440.64,16291.86,16291.86,102196.0
2020-11-13,16291.85,16480.0,15952.35,16320.7,16320.7,75691.0
2020-11-14,16320.04,16326.99,15670.0,16070.45,16070.45,59116.0
2020-11-15,16069.56,16180.0,15774.72,15957.0,15957.0,43596.0
2020-11-16,15957.0,16880.0,15864.0,16713.57,16713.57,81300.0
2020-11-17,16713.08,17858.82,16538.0,17659.38,17659.38,115221.0
2020-11-18,17659.38,18476.93,17214.45,17776.12,17776.12,149019.0
2020-11-19,17777.75,18179.8,17335.65,17802.82,17802.82,93009.0
2020-11-20,17802.81,18815.22,17740.04,18655.67,18655.67,88423.0
2020-11-21,18655.66,18965.9,18308.58,18703.8,18703.8,75577.0
2020-11-22,18703.8,18750.0,17610.86,18414.43,18414.43,81645.0
2020-11-23,18413.88,18766.0,18000.0,18368.0,18368.0,82961.0
2020-11-24,18368.01,19418.97,18018.0,19160.01,19160.01,113581.0
2020-11-25,19160.0,19484.21,18500.27,18719.11,18719.11,93266.0
2020-11-26,18718.83,18915.03,16188.0,17149.47,17149.47,181005.0
