,open,high,low,close,adj close,volume
2021-04-16,118.5,138.0,100.553,114.784,114.784,90829.0
2021-04-17,114.498,118.904,105.011,106.764,106.764,24674.0
2021-04-18,106.767,118.0,80.05,93.016,93.016,62535.0
2021-04-19,93.1,99.0,82.55,86.875,86.875,44569.0
2021-04-20,87.048,98.446,75.0,94.794,94.794,51458.0
2021-04-21,94.865,97.599,84.483,85.052,85.052,28137.0
2021-04-22,85.052,89.385,70.85,73.167,73.167,54419.0
2021-04-23,73.015,159.901,72.624,83.7,83.7,1677475.0
2021-04-24,83.9,87.4,76.2,77.091,77.091,372797.0
2021-04-25,77.089,83.4,70.452,74.364,74.364,171679.0
2021-04-26,74.364,87.093,72.802,86.54,86.54,220994.0
2021-04-27,86.538,94.5,84.666,89.479,89.479,140587.0
2021-04-28,89.482,98.0,85.772,91.37,91.37,108210.0
2021-04-29,91.352,92.0,84.492,87.815,87.815,55472.0
2021-04-30,87.874,94.154,86.004,93.666,93.666,59207.0
2021-05-01,93.398,96.96,91.608,95.371,95.371,49439.0
2021-05-02,95.371,95.853,88.852,92.847,92.847,34745.0
2021-05-03,93.239,97.976,91.137,95.725,95.725,50026.0
2021-05-04,95.727,114.0,95.698,107.988,107.988,296728.0
2021-05-05,107.893,140.0,104.325,133.15,133.15,287788.0
2021-05-06,133.15,169.0,133.15,141.098,141.098,713259.0
2021-05-07,141.097,143.5,118.583,129.604,129.604,223646.0
2021-05-08,129.998,140.0,124.0,131.466,131.466,126276.0
2021-05-09,131.5,131.814,116.499,125.621,125.621,68338.0
2021-05-10,125.622,131.0,106.102,111.0,111.0,67675.0
2021-05-11,111.0,120.2,104.002,119.456,119.456,96005.0
2021-05-12,119.456,121.0,90.0,91.232,91.232,68743.0
2021-05-13,91.829,99.856,85.078,93.739,93.739,91306.0
2021-05-14,93.735,106.128,91.472,102.135,102.135,82098.0
2021-05-15,102.647,110.068,93.1,95.189,95.189,62182.0
2021-05-16,95.68,101.469,87.546,94.43,94.43,48771.0
2021-05-17,94.998,100.0,80.111,86.36,86.36,63181.0
2021-05-18,86.762,91.57,84.5,87.125,87.125,45951.0
2021-05-19,87.124,88.361,37.3,58.883,58.883,106867.0
2021-05-20,58.006,73.277,50.415,69.42,69.42,54456.0
2021-05-21,69.272,73.252,51.36,60.448,60.448,39138.0
2021-05-22,60.589,61.8,51.001,55.213,55.213,24449.0
2021-05-23,55.662,63.683,40.97,49.81,49.81,195626.0
2021-05-24,49.795,64.0,45.65,62.074,62.074,55754.0
2021-05-25,61.737,67.692,56.474,62.713,62.713,45675.0
2021-05-26,63.154,67.855,60.649,66.626,66.626,31516.0
2021-05-27,66.351,69.957,61.199,66.469,66.469,31997.0
2021-05-28,66.469,68.606,55.733,58.687,58.687,36135.0
2021-05-29,58.705,63.066,52.208,56.401,56.401,21111.0
2021-05-30,55.793,58.207,51.325,56.999,56.999,18910.0
2021-05-31,56.999,60.237,54.0,59.712,59.712,50703.0
2021-06-01,59.71,60.867,56.269,57.8,57.8,11242.0
2021-06-02,57.887,60.0,56.551,59.298,59.298,12842.0
2021-06-03,58.959,62.599,58.254,61.788,61.788,22193.0
2021-06-04,61.962,62.0,54.8,57.388,57.388,23039.0
2021-06-05,57.379,58.949,53.877,55.038,55.038,15988.0
2021-06-06,55.23,64.0,55.052,56.622,56.622,68699.0
2021-06-07,56.698,58.371,50.205,51.094,51.094,56523.0
2021-06-08,51.077,57.329,47.23,52.888,52.888,135373.0
2021-06-09,52.886,84.555,48.809,71.399,71.399,1022492.0
2021-06-10,71.391,81.4,67.155,68.824,68.824,463267.0
2021-06-11,69.129,69.537,57.117,57.426,57.426,128045.0
2021-06-12,57.419,58.864,51.201,56.0,56.0,130900.0
2021-06-13,56.0,60.708,53.187,59.03,59.03,77768.0
2021-06-14,59.014,61.2,56.704,59.935,59.935,87334.0
2021-06-15,59.794,60.426,57.999,58.416,58.416,33037.0
2021-06-16,58.511,58.511,54.401,54.8,54.8,39146.0
2021-06-17,54.79,61.87,54.624,57.757,57.757,97883.0
2021-06-18,57.641,57.641,52.434,54.008,54.008,29036.0
2021-06-19,54.008,54.563,51.762,52.271,52.271,14613.0
2021-06-20,52.25,52.77,46.567,51.688,51.688,63056.0
2021-06-21,51.645,51.918,35.732,37.358,37.358,58731.0
2021-06-22,37.215,40.856,29.14,33.972,33.972,100445.0
2021-06-23,33.984,38.756,31.825,36.906,36.906,49936.0
2021-06-24,36.906,44.781,35.251,41.202,41.202,171845.0
2021-06-25,41.102,44.79,37.067,38.528,38.528,64369.0
2021-06-26,38.331,39.445,35.542,38.496,38.496,27942.0
2021-06-27,38.496,40.999,37.65,40.941,40.941,38492.0
2021-06-28,40.731,43.139,39.097,42.317,42.317,55909.0
2021-06-29,42.192,53.114,41.961,47.798,47.798,107469.0
2021-06-30,47.636,54.405,46.532,50.335,50.335,82618.0
2021-07-01,50.436,52.144,46.032,47.543,47.543,27974.0
2021-07-02,47.657,49.169,44.118,46.916,46.916,23086.0
2021-07-03,46.916,49.056,45.291,47.726,47.726,18711.0
2021-07-04,47.669,49.838,47.071,48.414,48.414,26188.0
2021-07-05,48.259,48.711,45.0,45.726,45.726,19513.0
2021-07-06,45.565,52.115,45.565,47.904,47.904,25873.0
2021-07-07,47.932,48.869,46.5,47.027,47.027,21481.0
2021-07-08,47.028,48.111,43.363,44.738,44.738,24449.0
2021-07-09,44.956,46.0,42.341,45.196,45.196,17520.0
2021-07-10,45.178,45.679,42.869,43.868,43.868,21998.0
2021-07-11,43.824,47.0,42.654,44.217,44.217,10111.0
2021-07-12,44.395,44.911,42.5,43.135,43.135,11703.0
2021-07-13,43.029,43.571,41.479,41.891,41.891,5764.0
2021-07-14,41.925,44.853,39.473,42.7,42.7,25613.0
2021-07-15,42.7,42.798,39.264,40.062,40.062,8840.0
2021-07-16,40.076,40.852,37.098,37.232,37.232,13989.0
2021-07-17,37.232,38.454,36.311,37.538,37.538,8512.0
2021-07-18,37.525,41.068,37.498,38.266,38.266,15742.0
2021-07-19,38.181,40.383,36.657,37.237,37.237,13869.0
2021-07-20,37.237,38.913,33.643,34.758,34.758,13561.0
2021-07-21,34.853,38.265,33.843,37.693,37.693,22973.0
