,open,high,low,close,adj close,volume
2020-08-15,438.12,442.94,427.02,432.32,432.32,681698.0
2020-08-16,432.3,436.99,412.47,433.62,433.62,716666.0
2020-08-17,433.61,446.0,420.37,430.89,430.89,868870.0
2020-08-18,430.89,433.81,415.0,421.95,421.95,743254.0
2020-08-19,421.92,426.75,393.25,407.46,407.46,978339.0
2020-08-20,407.46,418.98,402.07,415.94,415.94,663555.0
2020-08-21,415.94,418.68,385.1,387.97,387.97,860998.0
2020-08-22,387.93,397.04,379.92,395.24,395.24,643235.0
2020-08-23,395.23,396.95,383.15,390.71,390.71,445317.0
2020-08-24,390.72,410.42,387.44,407.68,407.68,717403.0
2020-08-25,407.68,409.06,370.0,382.93,382.93,970445.0
2020-08-26,382.91,392.91,377.37,385.81,385.81,738690.0
2020-08-27,385.81,397.1,371.48,383.27,383.27,877763.0
2020-08-28,383.31,398.0,379.75,395.11,395.11,732601.0
2020-08-29,395.1,405.69,391.88,398.65,398.65,659802.0
2020-08-30,398.65,429.89,398.3,428.94,428.94,894979.0
2020-08-31,428.94,439.0,418.04,433.79,433.79,1040748.0
2020-09-01,433.8,488.84,429.03,475.4,475.4,1751354.0
2020-09-02,475.4,481.39,420.0,439.5,439.5,1880642.0
2020-09-03,439.5,450.7,372.0,381.4,381.4,2408569.0
2020-09-04,381.35,400.21,357.0,385.26,385.26,1806488.0
2020-09-05,385.3,395.0,308.42,335.01,335.01,2777166.0
2020-09-06,335.04,360.0,316.1,352.8,352.8,2017811.0
2020-09-07,352.85,358.51,323.0,353.59,353.59,1740618.0
2020-09-08,353.59,356.58,325.38,337.39,337.39,1400246.0
2020-09-09,337.41,359.0,330.51,350.85,350.85,879760.0
2020-09-10,350.85,377.25,349.91,367.93,367.93,1134287.0
2020-09-11,367.93,375.27,355.49,373.63,373.63,844017.0
2020-09-12,373.62,388.57,364.73,387.78,387.78,766542.0
2020-09-13,387.78,390.43,350.0,366.42,366.42,989195.0
2020-09-14,366.43,384.64,355.73,377.12,377.12,1042059.0
2020-09-15,377.12,382.47,362.34,364.06,364.06,883856.0
2020-09-16,364.05,373.45,355.0,365.11,365.11,841709.0
2020-09-17,365.04,394.14,363.3,389.36,389.36,1256300.0
2020-09-18,389.35,392.58,375.33,384.39,384.39,804194.0
2020-09-19,384.4,388.72,377.0,385.25,385.25,570908.0
2020-09-20,385.25,385.45,365.0,371.04,371.04,693164.0
2020-09-21,371.04,376.8,331.0,340.36,340.36,1283946.0
2020-09-22,340.31,346.91,335.34,344.21,344.21,842731.0
2020-09-23,344.18,344.65,313.29,320.72,320.72,940904.0
2020-09-24,320.72,353.1,316.67,348.97,348.97,1071705.0
2020-09-25,348.97,358.0,337.58,351.92,351.92,860643.0
2020-09-26,351.93,356.4,345.88,353.92,353.92,530879.0
2020-09-27,353.95,362.14,347.24,357.49,357.49,569568.0
2020-09-28,357.58,368.2,351.7,353.96,353.96,757758.0
2020-09-29,353.91,360.63,350.45,359.79,359.79,585143.0
