,open,high,low,close,adj close,volume
2020-03-04,0.0075,0.00799,0.00734,0.00777,0.00777,10139819.0
2020-03-05,0.00777,0.00863,0.00776,0.00842,0.00842,18412368.0
2020-03-06,0.00831,0.00985,0.00814,0.00924,0.00924,15917098.0
2020-03-07,0.00924,0.00936,0.00825,0.00843,0.00843,8472291.0
2020-03-08,0.00843,0.00843,0.00704,0.00719,0.00719,7962353.0
2020-03-09,0.00727,0.00746,0.00623,0.00696,0.00696,4651710.0
2020-03-10,0.00698,0.00768,0.00682,0.00737,0.00737,3643229.0
2020-03-11,0.00747,0.00775,0.00653,0.00709,0.00709,13101643.0
2020-03-12,0.00709,0.00709,0.00329,0.0035,0.0035,13392685.0
2020-03-13,0.00358,0.00438,0.00254,0.004,0.004,5976621.0
2020-03-14,0.00397,0.00432,0.00365,0.004,0.004,28247224.0
2020-03-15,0.00396,0.00512,0.0038,0.00461,0.00461,63090034.0
2020-03-16,0.00459,0.00486,0.00328,0.00363,0.00363,21968332.0
2020-03-17,0.00375,0.00402,0.00364,0.00388,0.00388,6010062.0
2020-03-18,0.00383,0.0042,0.00351,0.00412,0.00412,8485625.0
2020-03-19,0.00409,0.00487,0.00388,0.00464,0.00464,20781897.0
2020-03-20,0.0046,0.00487,0.0036,0.0043,0.0043,17097246.0
2020-03-21,0.00439,0.00482,0.00414,0.00464,0.00464,8800648.0
2020-03-22,0.00463,0.00481,0.00415,0.00429,0.00429,7072058.0
2020-03-23,0.0043,0.00486,0.0039,0.00447,0.00447,17981663.0
2020-03-24,0.00455,0.00481,0.0044,0.00474,0.00474,8468661.0
2020-03-25,0.00474,0.00549,0.00454,0.00481,0.00481,11845854.0
2020-03-26,0.0048,0.00507,0.00451,0.00484,0.00484,7350439.0
2020-03-27,0.00487,0.0051,0.00413,0.00454,0.00454,20326847.0
2020-03-28,0.00456,0.00469,0.00429,0.0046,0.0046,9674729.0
2020-03-29,0.00455,0.00461,0.00419,0.00421,0.00421,2029871.0
2020-03-30,0.00424,0.00459,0.00419,0.00447,0.00447,13927367.0
2020-03-31,0.00445,0.00456,0.00443,0.00449,0.00449,2269179.0
2020-04-01,0.00447,0.00478,0.0043,0.00467,0.00467,8755622.0
2020-04-02,0.0047,0.00489,0.00453,0.00469,0.00469,17420034.0
2020-04-03,0.00469,0.00497,0.00458,0.00467,0.00467,8323733.0
2020-04-04,0.00463,0.00474,0.00454,0.00466,0.00466,8395611.0
2020-04-05,0.00467,0.00479,0.00452,0.00457,0.00457,5752810.0
2020-04-06,0.00463,0.00497,0.00454,0.00492,0.00492,14421284.0
2020-04-07,0.00496,0.00535,0.00466,0.00477,0.00477,25655026.0
2020-04-08,0.00477,0.00497,0.00463,0.0049,0.0049,8889708.0
2020-04-09,0.00492,0.00506,0.00482,0.00491,0.00491,3110993.0
2020-04-10,0.00491,0.005,0.00432,0.00458,0.00458,6552834.0
2020-04-11,0.00452,0.00466,0.00446,0.00449,0.00449,2928897.0
2020-04-12,0.00451,0.00806,0.00444,0.00605,0.00605,119329500.0
2020-04-13,0.00605,0.00613,0.0051,0.00534,0.00534,54087907.0
2020-04-14,0.00537,0.00544,0.00513,0.00521,0.00521,29844393.0
2020-04-15,0.00514,0.00524,0.00483,0.00484,0.00484,12472857.0
2020-04-16,0.00482,0.00507,0.00472,0.00496,0.00496,13357025.0
2020-04-17,0.00497,0.00525,0.0049,0.00512,0.00512,13813520.0
2020-04-18,0.00512,0.0057,0.0051,0.00537,0.00537,29367467.0
2020-04-19,0.0054,0.00546,0.00508,0.00514,0.00514,12174218.0
2020-04-20,0.00518,0.00525,0.00459,0.00468,0.00468,19550898.0
