,open,high,low,close,adj close,volume
2020-08-15,16.9447,19.8303,16.5554,19.2285,19.2285,17941112.0
2020-08-16,19.2108,20.1111,18.5144,18.8061,18.8061,10757844.0
2020-08-17,18.8096,19.7111,15.5,16.8196,16.8196,13542369.0
2020-08-18,16.8064,17.6738,14.69,16.1927,16.1927,27088057.0
2020-08-19,16.1846,17.2554,14.8653,16.1863,16.1863,18401947.0
2020-08-20,16.1884,16.7862,15.7232,16.0483,16.0483,11077161.0
2020-08-21,16.0476,16.1421,12.89,13.8325,13.8325,26181371.0
2020-08-22,13.8342,16.33,13.66,15.8078,15.8078,16713843.0
2020-08-23,15.8085,16.0042,14.6536,15.1428,15.1428,10766009.0
2020-08-24,15.1572,15.8797,14.7,15.1419,15.1419,8460822.0
2020-08-25,15.1363,15.3743,13.4578,14.1164,14.1164,12813252.0
2020-08-26,14.1171,15.6664,14.0537,15.2,15.2,11417184.0
2020-08-27,15.2088,15.5215,13.9679,14.5234,14.5234,11695421.0
2020-08-28,14.5234,15.4989,14.236,15.1207,15.1207,7263858.0
2020-08-29,15.1136,17.0305,14.9565,16.3612,16.3612,12476977.0
2020-08-30,16.3612,17.7777,16.3547,16.4788,16.4788,12067693.0
2020-08-31,16.4782,16.9495,15.4451,15.5772,15.5772,9615963.0
2020-09-01,15.5746,16.5053,15.0629,16.0333,16.0333,9246701.0
2020-09-02,16.0284,16.3587,14.0,14.7982,14.7982,10432171.0
2020-09-03,14.7922,14.9989,10.8261,11.8895,11.8895,17461923.0
2020-09-04,11.8802,12.904,11.0,12.3708,12.3708,18649479.0
2020-09-05,12.3804,12.7655,9.1,10.6017,10.6017,25530147.0
2020-09-06,10.6087,13.24,9.7155,12.8044,12.8044,21900428.0
2020-09-07,12.806,13.1747,11.17,12.47,12.47,21235045.0
2020-09-08,12.4744,12.7362,11.0284,11.746,11.746,14832129.0
2020-09-09,11.7359,12.6566,11.4356,12.3444,12.3444,10649791.0
2020-09-10,12.3452,13.28,12.18,12.4957,12.4957,15073295.0
2020-09-11,12.4948,12.696,12.019,12.4406,12.4406,7498865.0
2020-09-12,12.4406,12.747,12.0934,12.7187,12.7187,6270783.0
2020-09-13,12.7194,13.23,11.7658,12.067,12.067,11107099.0
2020-09-14,12.0757,12.3863,11.6349,12.1374,12.1374,8830940.0
2020-09-15,12.13,12.24,10.75,10.9314,10.9314,11413633.0
2020-09-16,10.9301,11.3002,10.4771,10.7367,10.7367,10362445.0
2020-09-17,10.7367,11.6759,10.472,11.0139,11.0139,10163046.0
2020-09-18,11.0139,11.1315,9.7863,10.094,10.094,8890206.0
2020-09-19,10.0938,10.4969,9.8756,10.1209,10.1209,5596803.0
2020-09-20,10.1192,10.6199,9.5,9.7357,9.7357,7500145.0
2020-09-21,9.7394,9.9235,8.5012,8.7114,8.7114,15761415.0
2020-09-22,8.7162,9.08,8.54,8.7401,8.7401,8384112.0
2020-09-23,8.744,8.8016,7.2869,7.6364,7.6364,18221835.0
2020-09-24,7.6404,10.53,7.4761,9.87,9.87,26948146.0
2020-09-25,9.8701,11.199,9.3771,10.7279,10.7279,20220142.0
2020-09-26,10.7218,11.1,9.9757,10.3169,10.3169,12020281.0
2020-09-27,10.3079,10.991,9.9122,10.7939,10.7939,10053108.0
2020-09-28,10.8,11.07,10.15,10.283,10.283,8731492.0
2020-09-29,10.2809,10.3882,9.4502,10.135,10.135,13378180.0
2020-09-30,10.1356,10.2314,9.5768,9.8694,9.8694,6665669.0
2020-10-01,9.8727,10.4119,9.2457,9.6394,9.6394,9704023.0
2020-10-02,9.6394,9.8449,8.7975,9.2167,9.2167,11180624.0
2020-10-03,9.2132,9.5555,9.104,9.269,9.269,4805191.0
2020-10-04,9.2686,9.466,9.1141,9.3922,9.3922,4665626.0
2020-10-05,9.3906,9.72,9.2629,9.6176,9.6176,6217366.0
2020-10-06,9.6134,9.658,8.563,8.7689,8.7689,7424722.0
2020-10-07,8.769,9.01,8.3817,8.9799,8.9799,7543306.0
2020-10-08,8.9801,9.6909,8.4016,9.5594,9.5594,10913109.0
2020-10-09,9.5519,10.5254,9.3701,10.3959,10.3959,11276147.0
2020-10-10,10.3923,10.92,10.37,10.5198,10.5198,9504046.0
2020-10-11,10.5168,11.0258,10.15,10.8515,10.8515,8174876.0
2020-10-12,10.8515,11.8028,10.6807,11.4259,11.4259,11882241.0
2020-10-13,11.4259,11.5833,10.5221,11.0016,11.0016,9695225.0
2020-10-14,11.0016,11.3536,10.6201,10.8896,10.8896,7758446.0
2020-10-15,10.8896,10.9317,10.455,10.7483,10.7483,6983355.0
2020-10-16,10.7472,10.8935,10.2694,10.5877,10.5877,6662666.0
2020-10-17,10.5867,10.7149,10.4082,10.6267,10.6267,3322174.0
2020-10-18,10.6254,11.0,10.6,10.9409,10.9409,3679623.0
2020-10-19,10.9435,11.2226,10.651,10.9147,10.9147,4474849.0
2020-10-20,10.9116,10.9349,9.7665,9.8589,9.8589,7095706.0
2020-10-21,9.8589,11.1372,9.7864,10.7863,10.7863,8276637.0
2020-10-22,10.7805,12.4173,10.7142,11.9539,11.9539,10308176.0
2020-10-23,11.9551,12.264,11.5784,12.1586,12.1586,8789968.0
2020-10-24,12.1592,12.95,11.9839,12.7001,12.7001,7538193.0
2020-10-25,12.7002,12.8574,11.908,12.1481,12.1481,7000941.0
2020-10-26,12.148,12.4472,11.2594,11.7096,11.7096,8858167.0
2020-10-27,11.7086,12.4774,11.49,11.9224,11.9224,7621501.0
2020-10-28,11.921,12.16,11.15,11.4403,11.4403,8020300.0
