,open,high,low,close,adj close,volume
2020-08-15,1.7219,1.7494,1.6277,1.6816,1.6816,689812.0
2020-08-16,1.6831,1.84,1.6295,1.8063,1.8063,619535.0
2020-08-17,1.8078,1.914,1.7059,1.7895,1.7895,1044732.0
2020-08-18,1.7822,1.81,1.6221,1.7033,1.7033,887542.0
2020-08-19,1.6955,1.6997,1.4857,1.5788,1.5788,559328.0
2020-08-20,1.5822,1.7626,1.5201,1.7564,1.7564,870876.0
2020-08-21,1.7553,2.15,1.75,1.8389,1.8389,3753023.0
2020-08-22,1.8293,1.9983,1.7,1.9255,1.9255,967852.0
2020-08-23,1.9229,1.99,1.7972,1.8683,1.8683,655952.0
2020-08-24,1.8683,1.9577,1.8091,1.9074,1.9074,469516.0
2020-08-25,1.9061,1.914,1.5,1.7146,1.7146,785143.0
2020-08-26,1.7173,1.8269,1.51,1.7996,1.7996,493220.0
2020-08-27,1.796,1.8489,1.5702,1.642,1.642,528381.0
2020-08-28,1.6431,1.8024,1.6106,1.7887,1.7887,401130.0
2020-08-29,1.7914,1.8899,1.7549,1.8513,1.8513,713605.0
2020-08-30,1.85,1.8794,1.7605,1.7939,1.7939,400785.0
2020-08-31,1.7939,1.8312,1.74,1.7822,1.7822,359746.0
2020-09-01,1.7891,1.9723,1.7452,1.8574,1.8574,1196331.0
2020-09-02,1.8526,1.8846,1.66,1.75,1.75,537465.0
2020-09-03,1.7484,1.757,1.4,1.4108,1.4108,702982.0
2020-09-04,1.4225,1.6099,1.3377,1.5042,1.5042,622968.0
2020-09-05,1.4949,1.5577,1.25,1.3599,1.3599,504011.0
2020-09-06,1.3596,1.4139,1.2414,1.37,1.37,365308.0
2020-09-07,1.37,1.4598,1.2508,1.4066,1.4066,404542.0
2020-09-08,1.4096,1.4136,1.291,1.3407,1.3407,206352.0
2020-09-09,1.3362,1.4252,1.3,1.4001,1.4001,309362.0
2020-09-10,1.4006,1.4811,1.3816,1.4542,1.4542,342638.0
2020-09-11,1.4516,1.4811,1.3877,1.4494,1.4494,159359.0
2020-09-12,1.4493,1.4967,1.43,1.4911,1.4911,277935.0
2020-09-13,1.4811,1.4947,1.353,1.4088,1.4088,258079.0
2020-09-14,1.4034,1.5026,1.3741,1.4603,1.4603,485324.0
2020-09-15,1.4627,1.475,1.3557,1.3735,1.3735,335643.0
2020-09-16,1.3755,1.3867,1.3256,1.3649,1.3649,237428.0
2020-09-17,1.3575,1.3957,1.3151,1.3807,1.3807,179332.0
2020-09-18,1.379,1.4405,1.346,1.3672,1.3672,135638.0
2020-09-19,1.3699,1.4063,1.3654,1.3973,1.3973,104801.0
2020-09-20,1.3972,1.3976,1.3217,1.3407,1.3407,86205.0
2020-09-21,1.3322,1.45,1.1449,1.2051,1.2051,471448.0
2020-09-22,1.2044,1.229,1.1443,1.1942,1.1942,217952.0
2020-09-23,1.1988,1.2769,1.05,1.1276,1.1276,391111.0
2020-09-24,1.1251,1.2142,1.111,1.2097,1.2097,189163.0
2020-09-25,1.213,1.2175,1.1331,1.2005,1.2005,215239.0
2020-09-26,1.2,1.2467,1.1898,1.2217,1.2217,141112.0
2020-09-27,1.2227,1.2384,1.1647,1.2111,1.2111,118739.0
2020-09-28,1.2119,1.236,1.1902,1.1945,1.1945,207309.0
2020-09-29,1.1926,1.206,1.1596,1.1821,1.1821,105732.0
2020-09-30,1.1819,1.183,1.15,1.1767,1.1767,125765.0
2020-10-01,1.1812,1.1946,1.1003,1.1321,1.1321,121687.0
2020-10-02,1.1329,1.1428,1.0674,1.1038,1.1038,167156.0
2020-10-03,1.1059,1.1178,1.1009,1.1101,1.1101,82887.0
2020-10-04,1.11,1.1426,1.0932,1.1295,1.1295,68121.0
2020-10-05,1.1292,1.136,1.0956,1.1144,1.1144,109487.0
2020-10-06,1.11,1.1175,1.0668,1.0689,1.0689,130499.0
2020-10-07,1.0667,1.0675,1.019,1.0539,1.0539,148491.0
2020-10-08,1.0537,1.1112,1.0427,1.0958,1.0958,80058.0
