,open,high,low,close,adj close,volume
2020-08-15,6.146,7.46,5.9,6.859,6.859,3868282.0
2020-08-16,6.859,6.887,6.1,6.405,6.405,1016350.0
2020-08-17,6.398,6.875,6.072,6.177,6.177,1206308.0
2020-08-18,6.156,6.68,5.519,6.145,6.145,1375748.0
2020-08-19,6.146,6.409,5.4,6.091,6.091,1880672.0
2020-08-20,6.092,6.77,6.061,6.175,6.175,1595979.0
2020-08-21,6.176,6.27,5.21,5.315,5.315,1307457.0
2020-08-22,5.324,6.048,5.106,5.831,5.831,1029008.0
2020-08-23,5.829,5.891,5.344,5.678,5.678,794637.0
2020-08-24,5.688,6.3,5.535,6.231,6.231,937828.0
2020-08-25,6.239,6.57,5.5,5.867,5.867,1379764.0
2020-08-26,5.859,6.45,5.823,6.121,6.121,1219594.0
2020-08-27,6.121,6.43,5.86,6.093,6.093,1294103.0
2020-08-28,6.092,7.112,6.004,6.866,6.866,2318789.0
2020-08-29,6.866,7.0,6.466,6.529,6.529,970916.0
2020-08-30,6.52,7.415,6.5,7.301,7.301,1749192.0
2020-08-31,7.3,7.568,6.907,7.336,7.336,1843068.0
2020-09-01,7.336,7.88,7.084,7.104,7.104,2063482.0
2020-09-02,7.103,7.2,5.9,6.383,6.383,1645387.0
2020-09-03,6.373,6.585,5.028,5.255,5.255,1770506.0
2020-09-04,5.256,5.788,4.706,5.332,5.332,1518282.0
2020-09-05,5.321,7.0,3.65,4.472,4.472,2327734.0
2020-09-06,4.477,5.212,4.1,4.955,4.955,1719299.0
2020-09-07,4.951,5.065,4.104,4.644,4.644,1166952.0
2020-09-08,4.635,4.715,4.028,4.246,4.246,960831.0
2020-09-09,4.248,5.25,4.173,4.994,4.994,1371731.0
2020-09-10,5.0,5.87,4.986,5.725,5.725,1274741.0
2020-09-11,5.725,5.998,5.357,5.985,5.985,1224261.0
2020-09-12,5.985,6.178,5.612,6.131,6.131,891986.0
2020-09-13,6.14,6.286,5.06,5.388,5.388,1233257.0
2020-09-14,5.38,5.547,5.108,5.188,5.188,784157.0
2020-09-15,5.188,5.517,4.444,4.492,4.492,1554469.0
2020-09-16,4.493,4.978,4.131,4.794,4.794,1940547.0
2020-09-17,4.794,5.039,4.336,4.487,4.487,1402164.0
2020-09-18,4.483,4.745,4.333,4.554,4.554,1166923.0
2020-09-19,4.558,4.569,4.2,4.299,4.299,1077505.0
2020-09-20,4.295,4.548,4.071,4.19,4.19,762806.0
2020-09-21,4.186,4.258,3.461,3.618,3.618,1979892.0
2020-09-22,3.618,4.317,3.571,4.282,4.282,1109046.0
2020-09-23,4.282,4.42,3.67,3.7,3.7,1121904.0
2020-09-24,3.702,4.48,3.671,4.407,4.407,1405462.0
2020-09-25,4.403,5.2,4.294,4.915,4.915,1892859.0
2020-09-26,4.906,5.357,4.777,5.221,5.221,836235.0
2020-09-27,5.22,5.49,4.59,5.157,5.157,1647357.0
2020-09-28,5.157,5.495,4.807,4.94,4.94,1286025.0
2020-09-29,4.934,5.052,4.7,4.968,4.968,673416.0
2020-09-30,4.973,4.99,4.401,4.738,4.738,957436.0
2020-10-01,4.734,4.994,4.367,4.692,4.692,768270.0
2020-10-02,4.693,4.693,3.973,4.413,4.413,911075.0
2020-10-03,4.413,4.589,4.367,4.38,4.38,282412.0
2020-10-04,4.376,4.554,4.266,4.383,4.383,411909.0
2020-10-05,4.381,4.508,4.132,4.186,4.186,266656.0
2020-10-06,4.19,4.205,3.579,3.635,3.635,1002414.0
2020-10-07,3.627,3.955,3.485,3.941,3.941,834932.0
2020-10-08,3.936,4.066,3.634,3.957,3.957,982727.0
2020-10-09,3.954,4.389,3.758,4.294,4.294,1113337.0
2020-10-10,4.293,4.5,4.178,4.296,4.296,619966.0
2020-10-11,4.296,4.313,4.035,4.172,4.172,505700.0
2020-10-12,4.172,4.799,4.081,4.637,4.637,865419.0
2020-10-13,4.64,4.73,4.344,4.506,4.506,522618.0
2020-10-14,4.513,4.599,4.235,4.273,4.273,450562.0
2020-10-15,4.269,4.285,3.871,3.912,3.912,753749.0
2020-10-16,3.907,4.145,3.72,3.913,3.913,627588.0
2020-10-17,3.914,4.034,3.828,3.96,3.96,162450.0
2020-10-18,3.958,4.029,3.889,3.957,3.957,220924.0
2020-10-19,3.964,3.97,3.692,3.725,3.725,364282.0
2020-10-20,3.719,3.729,3.343,3.702,3.702,824491.0
2020-10-21,3.708,3.796,3.476,3.517,3.517,855196.0
2020-10-22,3.517,4.092,3.51,3.894,3.894,884670.0
2020-10-23,3.901,3.94,3.664,3.802,3.802,471731.0
2020-10-24,3.8,3.882,3.707,3.774,3.774,245384.0
2020-10-25,3.775,3.784,3.555,3.655,3.655,351657.0
2020-10-26,3.66,3.73,3.45,3.543,3.543,570338.0
2020-10-27,3.537,3.694,3.45,3.551,3.551,460280.0
2020-10-28,3.56,3.849,3.339,3.591,3.591,909679.0
2020-10-29,3.597,3.795,3.227,3.24,3.24,771755.0
2020-10-30,3.236,3.249,2.935,3.102,3.102,1023138.0
2020-10-31,3.105,3.14,3.009,3.017,3.017,226084.0
2020-11-01,3.014,3.036,2.718,2.904,2.904,703209.0
2020-11-02,2.906,3.008,2.61,2.612,2.612,693942.0
2020-11-03,2.62,2.62,2.47,2.571,2.571,481063.0
2020-11-04,2.576,2.768,2.471,2.727,2.727,489714.0
2020-11-05,2.729,3.29,2.547,3.161,3.161,1621875.0
2020-11-06,3.163,3.7,3.147,3.535,3.535,2183386.0
2020-11-07,3.536,4.68,3.525,3.761,3.761,3145744.0
2020-11-08,3.763,4.555,3.7,4.409,4.409,2183652.0
2020-11-09,4.411,4.598,3.956,4.243,4.243,1772084.0
2020-11-10,4.241,4.94,4.117,4.672,4.672,1528016.0
2020-11-11,4.67,4.773,3.982,3.997,3.997,1149973.0
2020-11-12,3.997,4.271,3.712,3.762,3.762,1320927.0
2020-11-13,3.762,4.463,3.751,4.222,4.222,1844935.0
2020-11-14,4.222,4.5,3.86,4.31,4.31,1523228.0
2020-11-15,4.313,4.579,3.956,4.125,4.125,1930288.0
2020-11-16,4.137,4.57,4.065,4.423,4.423,1212076.0
2020-11-17,4.426,5.423,4.415,5.074,5.074,2305541.0
2020-11-18,5.081,5.19,4.464,4.875,4.875,1667268.0
2020-11-19,4.872,5.265,4.56,4.992,4.992,1514198.0
2020-11-20,4.99,5.7,4.785,5.13,5.13,1980266.0
2020-11-21,5.137,5.589,5.069,5.255,5.255,1081983.0
2020-11-22,5.254,5.34,4.617,5.002,5.002,1494824.0
2020-11-23,5.003,5.56,4.942,5.452,5.452,1129884.0
2020-11-24,5.451,5.83,5.1,5.239,5.239,1353258.0
2020-11-25,5.239,5.362,4.565,4.823,4.823,1239580.0
2020-11-26,4.824,4.849,3.385,4.334,4.334,4172683.0
2020-11-27,4.336,4.599,3.904,4.124,4.124,1506551.0
2020-11-28,4.127,4.448,4.0,4.264,4.264,840083.0
2020-11-29,4.264,4.572,4.119,4.551,4.551,839995.0
2020-11-30,4.562,4.95,4.562,4.74,4.74,1324477.0
2020-12-01,4.753,5.268,4.531,4.744,4.744,1470103.0
2020-12-02,4.745,5.483,4.679,5.265,5.265,1403573.0
2020-12-03,5.266,5.3,5.013,5.238,5.238,837082.0
2020-12-04,5.238,5.359,4.828,4.951,4.951,1621681.0
2020-12-05,4.95,5.36,4.767,5.218,5.218,1388279.0
2020-12-06,5.214,5.379,4.941,5.152,5.152,882850.0
2020-12-07,5.153,5.345,5.025,5.2,5.2,858648.0
2020-12-08,5.2,5.493,4.534,4.671,4.671,2004257.0
2020-12-09,4.667,4.934,4.285,4.859,4.859,1811975.0
2020-12-10,4.854,4.879,4.448,4.623,4.623,846645.0
2020-12-11,4.631,4.666,4.126,4.348,4.348,811202.0
2020-12-12,4.354,4.636,4.337,4.458,4.458,544968.0
2020-12-13,4.467,4.79,4.388,4.751,4.751,423604.0
2020-12-14,4.748,5.442,4.6,5.25,5.25,1574445.0
2020-12-15,5.251,5.6,5.182,5.469,5.469,2380803.0
2020-12-16,5.469,5.476,4.927,5.276,5.276,1642088.0
2020-12-17,5.271,5.6,5.046,5.294,5.294,2068099.0
2020-12-18,5.297,6.617,5.16,6.12,6.12,3902427.0
2020-12-19,6.117,6.511,5.92,6.125,6.125,1801769.0
2020-12-20,6.125,6.385,5.78,5.963,5.963,1076828.0
2020-12-21,5.957,6.424,5.638,6.136,6.136,1494943.0
2020-12-22,6.14,7.74,5.704,7.202,7.202,5217299.0
2020-12-23,7.203,8.48,6.288,7.115,7.115,6856208.0
